,23/1/23,24/01,25/01,26/01,27/01,28/01,29/01,30/01,31/01,01/02
341570,3.92,4.39,4.41,4.85,4.60,4.05,4.05,3.81,3.68,3.9
341571,3.89,4.32,4.23,4.32,4.14,3.56,3.71,3.58,3.45,3.63
341572,3.54,3.80,3.99,4.08,4.03,3.48,3.48,3.41,3.33,3.14
